Row Labels,Sum of 2020 Total reported direct emissions,Sum of 2019 Total reported direct emissions,Sum of 2018 Total reported direct emissions,Sum of 2017 Total reported direct emissions,Sum of 2016 Total reported direct emissions
AK,14301696.69,14355167.87,14273857.64,15234728.17,15029349.51
AL,73740695.8,81525152.11,88061326.28,85058200.11,89549819.16
AR,32879518.49,41895447.78,47322603.91,41125369.15,38911623.15
AZ,43422992.59,51657482.91,55830340.88,52159427.34,52793422.3
CA,90559259.19,91599467.75,95608816.06,93919193.83,97751237.27
CO,39874781.16,45151003.74,45406817.39,46445990.73,47527721.08
CT,10744809.38,9516567.3,10228586.91,8378906.739,9164715.758
DC,237668.714,277495.192,297473.828,241037.59,238883.186
DE,5875743.134,5916081.61,6996663.26,7025671.453,8308834.652
FL,119857647.6,119774465.5,132816175.1,131847732.3,133995838.5
GA,53330726.59,65727294.97,69205491.63,68537391.46,75266280.55
GU,1213148.368,1248818.328,1236383.374,1220878.234,1153742.202
HI,7126560.558,8019629.806,8192002.508,8190031.022,8669801.718
IA,40026809.49,48735557.28,55524914.75,50280037.41,46116560.03
ID,4964260.66,5106993.471,4353618.916,4402486.88,4568577.671
IL,76972760.55,95945945.41,105149409.8,101375989.8,106410998.9
IN,111368944.8,127630377.3,143046483.9,135664232.2,138002449.6
KS,32392567.1,33957866.29,37078677.44,35372013.73,39380140.39
KY,66256511.45,78294095.89,86230094.52,83853224.04,91325858.04
LA,135629458.3,146565842.4,144974480.4,140535288.9,139296464.9
MA,8774655.412,9249723.791,11053451.88,13436650.17,13971846.39
MD,15719662.23,18496680.69,22387280.87,17617942.7,22460154.22
ME,2894166.756,2922945.076,3191250.17,3071017.082,3684246.304
MI,66207823.95,78630132.43,84618643.65,81442400.64,82373964.17
MN,34730200.94,39966191.18,44623581.5,42814657.68,42602091.33
MO,68164374.82,71511184.12,79006519.76,81304039.59,75084497.45
MS,41108555.04,39946602.68,41562925.45,39528334.79,41051803.54
MT,14517890.47,20884313.96,19794913.64,20079192.58,21079274.65
NC,46097651.25,56514499.66,59278626.83,57869824.52,62470007.9
ND,35984505.32,37756269.06,40649603.56,38499302.3,38582922.94
NE,26652729.38,28818936.57,31527298.02,29096637.37,28808453.3
NH,2176746.942,2436896.164,2723778.972,2393887.736,2898767.288
NJ,20244070.34,24993509.65,24750505.95,25027255.8,28171814.98
NM,27247379.32,29779919.37,28181793.7,31449545.08,31717394.95
NV,16780932.69,16999353.51,16957065.54,16181052.82,17433640.44
NY,34991540.79,33539985.4,36648220.54,33781285.4,39139653.49
OH,102323457.9,103677592.3,112905498.2,116092780.6,116383369
OK,48404387.7,51259422.15,57651350.36,54653818.58,59548141.98
OR,13514857.44,15051965.97,12781453.6,11899328.39,12119431.68
PA,103565615.7,113925500.2,112597564.2,114916298.9,119188152.2
PR,13922254.93,12506564.87,11538706.59,11758616.18,14566153.17
RI,3497573.386,3218788.973,3538227.525,3240788.573,2875935.25
SC,32010496.34,33662643.76,38066723.2,34124232.89,37587960.22
SD,5209399.926,6354832.394,5801899.954,5461749.078,5578160.466
TN,34178557.34,40034878,41834104.92,47471105.68,50526765.47
TX,358722222.2,382127376.3,389538379.3,388872121.7,385444223
UT,33214547.86,36038457.93,36208104.15,35611345.64,35982417.07
VA,43847319.25,42383873.01,45330217.78,44180382.67,49031642.78
VI,1073727.53,785977.922,676118.082,654352.086,909047.18
VT,432738.5793,462945.4917,440286.3206,434819.0993,453655.0052
WA,23166493.45,27238519.4,22882521.07,22867081.23,22540348.06
WI,40263286.69,43118516.06,50386971.92,52450093.35,50165570.63
WV,67142057.33,74737257.01,79156308.47,86340120.08,89643029.77
WY,52776577.4,54599090.58,59346522.94,60350862.79,57567892.76
Grand Total,2400335017,2626532099,2779470637,2735840755,2805104748
